timestamp,temperature,ph,turbidity
2026-08-18 12:14:09+00:00,27.3125,5.05405,1
2026-08-18 12:15:09+00:00,27.3125,5.34392,1
2026-08-18 12:16:09+00:00,27.3125,5.28108,1
2026-08-18 12:18:32+00:00,27.3125,5.4777,1
2026-08-18 12:18:48+00:00,27.3125,4.82905,1
2026-08-18 12:19:04+00:00,27.3125,5.54257,1
2026-08-18 12:19:20+00:00,27.3125,4.75608,1
2026-08-18 12:19:36+00:00,27.3125,4.9223,1
2026-08-18 12:19:51+00:00,27.3125,4.82905,1
2026-08-18 12:20:07+00:00,27.3125,5.14527,1
2026-08-18 12:20:24+00:00,27.375,4.85541,1
2026-08-18 12:20:41+00:00,27.3125,5.09054,1
2026-08-18 12:20:56+00:00,27.3125,5.06216,1
2026-08-18 12:21:12+00:00,27.3125,5.05,1
2026-08-18 12:21:28+00:00,27.3125,4.85541,1
2026-08-18 12:21:44+00:00,27.3125,4.86554,1
2026-08-18 12:22:51+00:00,27.3125,5.00743,1
2026-08-18 12:23:11+00:00,27.3125,5.21622,1
2026-08-18 12:23:33+00:00,27.3125,5.46149,1
2026-08-18 12:23:51+00:00,27.3125,5.04595,1
2026-08-18 12:24:11+00:00,27.3125,4.97703,1
2026-08-18 12:24:32+00:00,27.25,5.4473,1
2026-08-18 12:24:50+00:00,27.25,4.8027,1
2026-08-18 12:25:11+00:00,27.25,4.73378,1
2026-08-18 12:25:33+00:00,27.3125,4.99324,1
2026-08-18 12:25:50+00:00,27.3125,5.33378,1
2026-08-18 12:26:10+00:00,27.25,4.95676,1
2026-08-18 12:26:32+00:00,27.25,4.95068,1
2026-08-18 12:26:50+00:00,27.3125,5.08243,1
2026-08-18 12:27:10+00:00,27.3125,5.39054,1
2026-08-18 12:27:33+00:00,27.25,5.07635,1
2026-08-18 12:27:50+00:00,27.25,5.44527,1
2026-08-18 12:28:11+00:00,27.3125,5.43513,1
2026-08-18 12:28:32+00:00,27.25,5.04392,1
2026-08-18 12:28:50+00:00,27.3125,4.8777,1
2026-08-18 12:29:10+00:00,27.3125,4.90203,1
2026-08-18 12:29:43+00:00,27.3125,5.43513,1
2026-08-18 12:30:10+00:00,27.25,4.99324,1
2026-08-18 12:30:33+00:00,27.25,5.43716,1
2026-08-18 12:30:51+00:00,27.25,5.05,1
2026-08-18 12:31:10+00:00,27.25,5.06419,1
2026-08-18 12:31:33+00:00,27.3125,5.49797,1
2026-08-18 12:31:50+00:00,27.25,5.00541,1
2026-08-18 12:32:10+00:00,27.25,5.44324,1
2026-08-18 12:32:33+00:00,27.25,5.29324,1
2026-08-18 12:32:50+00:00,27.25,5.07027,1
2026-08-18 12:33:10+00:00,27.25,4.93243,1
2026-08-18 12:33:33+00:00,27.25,5.41689,1
2026-08-18 12:33:51+00:00,27.25,5.29122,1
2026-08-18 12:34:10+00:00,27.25,4.83716,1
2026-08-18 12:34:33+00:00,27.25,4.75,1
2026-08-18 12:34:50+00:00,27.25,5.01959,1
2026-08-18 12:35:11+00:00,27.25,5.5,1
2026-08-18 12:35:35+00:00,27.25,4.88581,1
2026-08-18 12:35:51+00:00,27.1875,5.52432,1
2026-08-18 12:36:11+00:00,27.25,5.38446,1
2026-08-18 12:36:33+00:00,27.25,5.40676,1
2026-08-18 12:36:51+00:00,27.1875,5.49189,1
2026-08-18 12:37:13+00:00,27.25,5.05811,1
2026-08-21 06:41:14+00:00,28.5625,7.2777,1
2026-08-21 06:41:34+00:00,28.5625,8.77568,1
2026-08-21 06:41:55+00:00,28.5625,3.31487,1
2026-08-21 06:42:13+00:00,28.5625,4.73987,1
2026-08-21 06:42:33+00:00,28.5625,1.21284,1
2026-08-21 06:42:55+00:00,28.5625,6.72635,1
2026-08-21 06:43:13+00:00,28.5625,5.62568,1
2026-08-21 06:43:33+00:00,28.5,8.78378,1
2026-08-21 06:43:56+00:00,28.5625,4.02027,1
2026-08-21 06:44:13+00:00,28.5625,6.74865,1
2026-08-21 06:44:33+00:00,28.5625,6.41216,1
2026-08-21 06:44:55+00:00,28.5625,4.71554,1
2026-08-21 06:45:13+00:00,28.5625,3.81959,1
2026-08-21 06:45:33+00:00,28.5625,4.27973,1
2026-08-21 06:45:55+00:00,28.5625,6.80946,1
2026-08-21 06:46:13+00:00,28.5625,4.06689,1
2026-08-21 06:46:33+00:00,28.5625,3.97162,1
2026-08-21 06:46:55+00:00,28.5625,6.44257,1
2026-08-21 06:47:13+00:00,28.5625,2.41284,1
2026-08-21 06:47:33+00:00,28.5625,5.52432,1
2026-08-21 06:47:55+00:00,28.5625,4.98311,1
2026-08-21 06:48:13+00:00,28.5625,6.79932,1
2026-08-21 06:48:33+00:00,28.5625,4.54122,1
2026-08-21 06:48:55+00:00,28.5625,3.91486,1
2026-08-21 06:49:13+00:00,28.5625,6.7223,1
2026-08-21 06:49:33+00:00,28.5625,3.69797,1
2026-08-21 06:49:55+00:00,28.5625,3.23784,1
2026-08-21 06:50:13+00:00,28.625,6.73446,1
2026-08-21 06:50:33+00:00,28.625,3.71014,1
2026-08-21 06:50:55+00:00,28.625,4.33851,1
2026-08-21 06:51:13+00:00,28.625,3.85608,1
2026-08-21 06:51:33+00:00,28.625,6.7527,1
2026-08-21 06:51:55+00:00,28.625,4.91622,1
2026-08-21 06:52:13+00:00,28.625,8.55878,1
