target,model,split,MAE,RMSE,MAPE_percent,note
temperature,MovingAverage,80/20,1.3470857188432557,1.476412605909439,4.620090071531686,
temperature,SARIMA,80/20,1.1709859600000005,1.3003027589066436,4.045898255664978,
temperature,LSTM,80/20,,,,Skipped: ValueError: Input contains NaN.
ph,MovingAverage,80/20,0.6587767265400791,0.7166584279236664,14.884315687199775,
ph,SARIMA,80/20,0.8084610794999999,0.8486578483599425,18.370213475655913,
ph,LSTM,80/20,,,,Skipped: ValueError: Input contains NaN.
